"Name","Iterations","AvgMs","MedianMs","MinMs","MaxMs","AvgMemDelta"
"GitFetch_Self","5","2.17206","0.6629","0.4293","8.2813","-66355.2"
"NoOp","5","58.4169","55.7823","54.5861","67.0804","283443.2"
"Parallel-Fetch-Demo","5","1243.0727000000002","1287.6104","934.9632","1469.7864","3309568"
"Serial-Fetch-Demo","5","1341.17504","1485.3784","789.7841","1562.7983","-26214.4"
