"Name","Iterations","AvgMs","MedianMs","MinMs","MaxMs","AvgMemDelta"
"GitFetch_Self","3","3.1026333333333334","1.01","0.6669","7.631","-91477.33333333333"
"NoOp","3","62.02013333333334","53.087","51.1709","81.8025","1230165.3333333333"
"Parallel-Fetch-Demo","3","12.0379","1.0854","0.7367","34.2916","443733.3333333333"
"Serial-Fetch-Demo","3","5.588533333333333","0.8769","0.4931","15.3956","1365.3333333333333"
