"Name","Iterations","AvgMs","MedianMs","MinMs","MaxMs","AvgMemDelta"
"GitFetch_Self","3","3.1855999999999995","0.7906","0.5568","8.2094","-96938.66666666667"
"NoOp","3","70.47646666666667","68.9876","64.2153","78.2265","1227434.6666666667"
"Parallel-Fetch-Demo","3","541.0801666666666","562.6595","450.32","610.261","2348373.3333333335"
"Serial-Fetch-Demo","3","259.57196666666664","223.35","222.647","332.7189","1198762.6666666667"
